"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"RQL_FC-SW_cd_oum",81,-634.578398892222,-761.657294542933,127.068672800179,1457.15288389012,36.3824479716086,0.00000000968970620279202
"RQL_9cats_cd_ouv",83,-631.883738623098,-762.297699110564,133.185413258953,1457.16236919119,36.3919332726748,0.00000000964386011442508
"RQL_bigbulky-SW_cd_oumv",85,-629.351333319588,-762.925053023303,135.527343158034,1457.53895855239,36.7685226338808,0.00000000798868986647053
"RQL_ingestionratio_cd_oum",79,-637.671691354741,-762.79570490189,125.857491601901,1457.9827589278,37.2123230092941,0.00000000639890311228203
"RQL_clades_cd_bmv",78,-639.677029686999,-762.158260735295,124.268944066339,1459.3307130705,38.5602771519857,0.00000000326137705476234
"RQL_eels-worms_cd_oum",82,-635.205841564503,-760.773572991963,129.191207598222,1461.10187920744,40.3314432889263,0.0000000013452319438629
"RQL_bigbulky-SE_cd_oum",80,-638.3690251308,-762.163838582493,125.121326574658,1462.0505502616,41.2801143430888,0.000000000837135712611114
"RQL_tet-fish_cd_oum",82,-635.731364737011,-764.081019338274,127.590594293339,1462.15292555245,41.3824896339429,0.000000000795362951811003
"RQL_eels-worms_cd_ouv",82,-636.272410750829,-760.734236607819,128.486503269165,1463.23501758009,42.4645816615787,0.000000000463011800040848
"RQL_FC-SE_cd_oum",81,-637.752199126208,-760.071450126506,127.286000274842,1463.50048435809,42.7300484395801,0.000000000405458753524652
"RQL_SEWB_cd_ouv",80,-639.18715181356,-762.208631717832,124.815936290042,1463.68680362712,42.9163677086094,0.000000000369392408365106
"RQL_bigbulky_cd_oumv",87,-629.768278793185,-761.214012372014,134.906325640397,1463.85734966558,43.086913747067,0.000000000339198844398078
"RQL_SEWB_cd_oumv",85,-632.706988198971,-763.886425969422,132.57355290268,1464.25026831116,43.4798323926468,0.000000000278697558539845
"RQL_snakes-worms_cd_oum",82,-636.802481150754,-761.753660310025,126.864356609493,1464.29515837994,43.5247224614282,0.000000000272511861033936
"RQL_bigbulky-SW_cd_oum",80,-639.644601250613,-763.435386937104,122.986758433242,1464.60170250123,43.831266582715,0.000000000233786914628053
"RQL_FC-nolimbs_cd_oum",81,-638.332968410003,-761.672128219767,125.847903979761,1464.66202292568,43.8915870071703,0.000000000226841121470056
"RQL_snakes-eels_cd_oum",82,-637.392033014822,-762.679394149926,128.046912235449,1465.47426210808,44.703826189565,0.000000000151128470910005
