"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"MA_RQLgroup2_cd_oumv",79,-427.061248398703,-762.604258946508,336.389805737174,1036.76187301573,104.374857718542,0.00000000000000000000000868107175987661
"MA_SEWB_cd_oum",80,-425.837932258013,-764.023201564111,337.993774698736,1036.98836451603,104.601349218839,0.0000000000000000000000077515997819607
"MA_bigbulky_cd_ouv",81,-425.946172203667,-764.484903484257,338.278426808738,1039.88843051301,107.501415215822,0.00000000000000000000000181823499404007
"MA_SEWB_cd_oumv",85,-420.879283325799,-764.006319713226,343.04902092816,1040.59485856481,108.207843267626,0.00000000000000000000000127717706078677
"MA_ingestionratio_cd_ouv",79,-429.305734678094,-760.185935835184,334.563420244729,1041.25084557451,108.863830277325,0.000000000000000000000000920037099966434
"MA_fish-crusts_cd_ouv",82,-425.291904843453,-761.71942971803,338.024121620439,1041.27400576534,108.88699046815,0.000000000000000000000000909444432984547
"MA_shapesize_cd_ouv",79,-430.707426563206,-760.642362509328,333.167481390765,1044.05422934474,111.667214047549,0.000000000000000000000000226494827987165
"MA_tet-fish_cd_ouv",82,-426.936947173638,-761.346169536645,337.716648494515,1044.56409042571,112.177075128522,0.000000000000000000000000175526770490821
"MA_tet-crusts_cd_ouv",82,-427.491876405379,-764.457919737213,336.413120294581,1045.67394888919,113.286933592002,0.000000000000000000000000100772181255733
"MA_SEWB_cd_ouv",80,-431.780880434268,-762.677337162526,332.550149648625,1048.87426086854,116.48724557135,0.0000000000000000000000000203423790576746
"MA_bigbulky-SE_cd_ouv",80,-434.550181537892,-761.101157315094,329.421461640127,1054.41286307578,122.025847778598,0.00000000000000000000000000127558544356169
